method,n,seed,n_confounded_pairs,shd_obs,precision_obs,recall_obs,spurious_confounder_edges,shd_full,precision_full,recall_full,latent_parent_recoveries
notears_latent_single,200,3,14,9,0.18181818181818182,1.0,8,18,0.29411764705882354,0.45454545454545453,4
dagma_latent_single,200,3,14,9,0.18181818181818182,1.0,8,18,0.29411764705882354,0.45454545454545453,4
notears_latent_stable,200,3,14,11,0.09090909090909091,0.5,9,20,0.09090909090909091,0.09090909090909091,0
dagma_latent_stable,200,3,14,15,0.06666666666666667,0.5,10,24,0.06666666666666667,0.09090909090909091,0
dagma_latent_warmstart,200,3,14,3,0.4,1.0,2,8,0.6,0.8181818181818182,13
notears_latent_warmstart,200,3,14,3,0.4,1.0,2,8,0.6,0.8181818181818182,11
dagma_latent_symL1,200,3,14,7,0.2222222222222222,1.0,6,16,0.3076923076923077,0.36363636363636365,4
oracle_dagma,200,3,14,0,1.0,1.0,0,0,1.0,1.0,14
notears_obs,200,4,12,5,0.16666666666666666,1.0,5,nan,nan,nan,nan
dagma_obs,200,4,12,7,0.125,1.0,6,nan,nan,nan,nan
notears_obs_warmstart,200,4,12,5,0.16666666666666666,1.0,5,nan,nan,nan,nan
dagma_obs_warmstart,200,4,12,7,0.125,1.0,6,nan,nan,nan,nan
notears_latent_single,200,4,12,10,0.09090909090909091,1.0,6,21,0.07692307692307693,0.1,0
dagma_latent_single,200,4,12,7,0.125,1.0,5,19,0.09090909090909091,0.1,0
notears_latent_stable,200,4,12,11,0.08333333333333333,1.0,5,20,0.14285714285714285,0.2,0
dagma_latent_stable,200,4,12,10,0.09090909090909091,1.0,5,19,0.09090909090909091,0.1,0
dagma_latent_warmstart,200,4,12,3,0.25,1.0,3,7,0.6363636363636364,0.7,10
notears_latent_warmstart,200,4,12,4,0.2,1.0,4,8,0.5833333333333334,0.7,9
dagma_latent_symL1,200,4,12,9,0.1,1.0,6,20,0.07692307692307693,0.1,0
oracle_dagma,200,4,12,0,1.0,1.0,0,0,1.0,1.0,12
notears_obs,200,5,13,10,0.2,0.5,7,nan,nan,nan,nan
dagma_obs,200,5,13,10,0.18181818181818182,0.5,7,nan,nan,nan,nan
notears_obs_warmstart,200,5,13,10,0.2,0.5,7,nan,nan,nan,nan
dagma_obs_warmstart,200,5,13,10,0.18181818181818182,0.5,7,nan,nan,nan,nan
notears_latent_single,200,5,13,10,0.2,0.5,6,20,0.18181818181818182,0.15384615384615385,9
dagma_latent_single,200,5,13,9,0.2222222222222222,0.5,5,17,0.3,0.23076923076923078,9
notears_latent_stable,200,5,13,9,0.2222222222222222,0.5,5,17,0.3,0.23076923076923078,0
dagma_latent_stable,200,5,13,11,0.18181818181818182,0.5,7,18,0.3076923076923077,0.3076923076923077,1
dagma_latent_warmstart,200,5,13,3,0.6,0.75,1,6,0.7058823529411765,0.9230769230769231,13
notears_latent_warmstart,200,5,13,3,0.6,0.75,1,7,0.6666666666666666,0.9230769230769231,13
dagma_latent_symL1,200,5,13,10,0.2,0.5,6,20,0.18181818181818182,0.15384615384615385,0
oracle_dagma,200,5,13,0,1.0,1.0,0,2,0.8666666666666667,1.0,13
notears_obs,200,6,10,7,0.2222222222222222,0.6666666666666666,4,nan,nan,nan,nan
dagma_obs,200,6,10,7,0.2222222222222222,0.6666666666666666,5,nan,nan,nan,nan
notears_obs_warmstart,200,6,10,7,0.2222222222222222,0.6666666666666666,4,nan,nan,nan,nan
dagma_obs_warmstart,200,6,10,7,0.2222222222222222,0.6666666666666666,5,nan,nan,nan,nan
notears_latent_single,200,6,10,7,0.3,1.0,4,17,0.25,0.2727272727272727,0
dagma_latent_single,200,6,10,7,0.3,1.0,4,17,0.25,0.2727272727272727,2
notears_latent_stable,200,6,10,7,0.3,1.0,5,15,0.3,0.2727272727272727,0
dagma_latent_stable,200,6,10,8,0.2727272727272727,1.0,6,16,0.2727272727272727,0.2727272727272727,0
dagma_latent_warmstart,200,6,10,2,0.6,1.0,1,9,0.5625,0.8181818181818182,10
notears_latent_warmstart,200,6,10,2,0.6,1.0,1,10,0.5333333333333333,0.7272727272727273,10
dagma_latent_symL1,200,6,10,6,0.3333333333333333,1.0,4,16,0.2727272727272727,0.2727272727272727,0
oracle_dagma,200,6,10,0,1.0,1.0,0,0,1.0,1.0,10
notears_obs,200,7,9,8,0.3333333333333333,1.0,7,nan,nan,nan,nan
dagma_obs,200,7,9,9,0.3076923076923077,1.0,8,nan,nan,nan,nan
notears_obs_warmstart,200,7,9,8,0.3333333333333333,1.0,7,nan,nan,nan,nan
dagma_obs_warmstart,200,7,9,9,0.3076923076923077,1.0,8,nan,nan,nan,nan
notears_latent_single,200,7,9,11,0.21428571428571427,0.75,5,18,0.25,0.3333333333333333,2
dagma_latent_single,200,7,9,12,0.2,0.75,6,20,0.1875,0.25,1
notears_latent_stable,200,7,9,11,0.26666666666666666,1.0,7,19,0.26666666666666666,0.3333333333333333,0
dagma_latent_stable,200,7,9,10,0.2857142857142857,1.0,7,18,0.2857142857142857,0.3333333333333333,0
dagma_latent_warmstart,200,7,9,5,0.375,0.75,4,8,0.5789473684210527,0.9166666666666666,9
notears_latent_warmstart,200,7,9,4,0.42857142857142855,0.75,3,8,0.5882352941176471,0.8333333333333334,8
dagma_latent_symL1,200,7,9,13,0.23529411764705882,1.0,6,22,0.21052631578947367,0.3333333333333333,0
oracle_dagma,200,7,9,0,1.0,1.0,0,0,1.0,1.0,9
notears_obs,200,8,11,10,0.23076923076923078,1.0,8,nan,nan,nan,nan
dagma_obs,200,8,11,10,0.23076923076923078,1.0,8,nan,nan,nan,nan
notears_obs_warmstart,200,8,11,10,0.23076923076923078,1.0,8,nan,nan,nan,nan
dagma_obs_warmstart,200,8,11,10,0.23076923076923078,1.0,8,nan,nan,nan,nan
notears_latent_single,200,8,11,4,0.42857142857142855,1.0,3,9,0.6,0.5454545454545454,6
dagma_latent_single,200,8,11,4,0.42857142857142855,1.0,3,9,0.6,0.5454545454545454,6
notears_latent_stable,200,8,11,10,0.23076923076923078,1.0,8,16,0.3333333333333333,0.45454545454545453,0
dagma_latent_stable,200,8,11,12,0.2,1.0,10,18,0.29411764705882354,0.45454545454545453,1
dagma_latent_warmstart,200,8,11,0,1.0,1.0,0,1,0.9166666666666666,1.0,11
notears_latent_warmstart,200,8,11,4,0.4,0.6666666666666666,3,7,0.625,0.9090909090909091,11
dagma_latent_symL1,200,8,11,2,0.6,1.0,2,8,0.6666666666666666,0.5454545454545454,4
oracle_dagma,200,8,11,0,1.0,1.0,0,0,1.0,1.0,11
notears_obs,200,9,11,10,0.125,0.25,7,nan,nan,nan,nan
dagma_obs,200,9,11,9,0.14285714285714285,0.25,6,nan,nan,nan,nan
notears_obs_warmstart,200,9,11,10,0.125,0.25,7,nan,nan,nan,nan
dagma_obs_warmstart,200,9,11,9,0.14285714285714285,0.25,6,nan,nan,nan,nan
notears_latent_single,200,9,11,11,0.1111111111111111,0.25,6,18,0.3333333333333333,0.38461538461538464,5
dagma_latent_single,200,9,11,11,0.1,0.25,6,18,0.3125,0.38461538461538464,5
notears_latent_stable,200,9,11,12,0.09090909090909091,0.25,7,19,0.23076923076923078,0.23076923076923078,0
dagma_latent_stable,200,9,11,10,0.1111111111111111,0.25,6,18,0.2,0.15384615384615385,0
dagma_latent_warmstart,200,9,11,4,0.3333333333333333,0.25,1,7,0.6666666666666666,0.7692307692307693,11
notears_latent_warmstart,200,9,11,4,0.3333333333333333,0.25,1,8,0.625,0.7692307692307693,11
dagma_latent_symL1,200,9,11,10,0.1111111111111111,0.25,6,18,0.25,0.23076923076923078,2
oracle_dagma,200,9,11,1,1.0,0.75,0,1,1.0,0.9230769230769231,11
notears_obs,1000,0,13,8,0.3333333333333333,1.0,7,nan,nan,nan,nan
dagma_obs,1000,0,13,6,0.4,1.0,6,nan,nan,nan,nan
notears_obs_warmstart,1000,0,13,8,0.3333333333333333,1.0,7,nan,nan,nan,nan
dagma_obs_warmstart,1000,0,13,6,0.4,1.0,6,nan,nan,nan,nan
notears_latent_single,1000,0,13,7,0.36363636363636365,1.0,6,17,0.36363636363636365,0.2857142857142857,0
dagma_latent_single,1000,0,13,9,0.3076923076923077,1.0,8,19,0.3076923076923077,0.2857142857142857,0
notears_latent_stable,1000,0,13,8,0.3333333333333333,1.0,7,18,0.3333333333333333,0.2857142857142857,0
dagma_latent_stable,1000,0,13,9,0.3076923076923077,1.0,7,19,0.3076923076923077,0.2857142857142857,0
dagma_latent_warmstart,1000,0,13,3,0.5,0.75,2,8,0.631578947368421,0.8571428571428571,13
notears_latent_warmstart,1000,0,13,7,0.2222222222222222,0.5,3,12,0.5,0.7142857142857143,12
dagma_latent_symL1,1000,0,13,7,0.36363636363636365,1.0,6,17,0.36363636363636365,0.2857142857142857,0
oracle_dagma,1000,0,13,2,0.6,0.75,0,3,0.8571428571428571,0.8571428571428571,12
notears_obs,1000,1,10,4,0.3333333333333333,0.6666666666666666,3,nan,nan,nan,nan
dagma_obs,1000,1,10,4,0.3333333333333333,0.6666666666666666,3,nan,nan,nan,nan
notears_obs_warmstart,1000,1,10,4,0.3333333333333333,0.6666666666666666,3,nan,nan,nan,nan
dagma_obs_warmstart,1000,1,10,4,0.3333333333333333,0.6666666666666666,3,nan,nan,nan,nan
notears_latent_single,1000,1,10,8,0.2222222222222222,0.6666666666666666,4,19,0.18181818181818182,0.16666666666666666,0
dagma_latent_single,1000,1,10,8,0.2222222222222222,0.6666666666666666,4,18,0.2,0.16666666666666666,0
notears_latent_stable,1000,1,10,7,0.2222222222222222,0.6666666666666666,3,15,0.3,0.25,0
dagma_latent_stable,1000,1,10,7,0.2222222222222222,0.6666666666666666,3,14,0.36363636363636365,0.3333333333333333,0
dagma_latent_warmstart,1000,1,10,3,0.5,0.6666666666666666,0,9,0.6363636363636364,0.5833333333333334,9
notears_latent_warmstart,1000,1,10,3,0.5,0.6666666666666666,0,9,0.6363636363636364,0.5833333333333334,10
dagma_latent_symL1,1000,1,10,8,0.2222222222222222,0.6666666666666666,4,18,0.18181818181818182,0.16666666666666666,0
oracle_dagma,1000,1,10,0,1.0,1.0,0,0,1.0,1.0,10
notears_obs,1000,2,16,8,0.1111111111111111,1.0,7,nan,nan,nan,nan
dagma_obs,1000,2,16,7,0.125,1.0,7,nan,nan,nan,nan
notears_obs_warmstart,1000,2,16,8,0.1111111111111111,1.0,7,nan,nan,nan,nan
dagma_obs_warmstart,1000,2,16,7,0.125,1.0,7,nan,nan,nan,nan
notears_latent_single,1000,2,16,7,0.125,1.0,7,14,0.3333333333333333,0.4,4
dagma_latent_single,1000,2,16,6,0.14285714285714285,1.0,6,13,0.36363636363636365,0.4,4
notears_latent_stable,1000,2,16,5,0.16666666666666666,1.0,5,13,0.2857142857142857,0.2,0
dagma_latent_stable,1000,2,16,8,0.1111111111111111,1.0,8,18,0.1,0.1,0
dagma_latent_warmstart,1000,2,16,1,0.5,1.0,1,10,0.5,0.8,16
notears_latent_warmstart,1000,2,16,1,0.5,1.0,1,10,0.5,0.8,16
dagma_latent_symL1,1000,2,16,5,0.16666666666666666,1.0,5,12,0.375,0.3,2
oracle_dagma,1000,2,16,0,1.0,1.0,0,0,1.0,1.0,16
notears_obs,1000,3,14,9,0.1111111111111111,0.5,7,nan,nan,nan,nan
dagma_obs,1000,3,14,11,0.09090909090909091,0.5,9,nan,nan,nan,nan
notears_obs_warmstart,1000,3,14,9,0.1111111111111111,0.5,7,nan,nan,nan,nan
dagma_obs_warmstart,1000,3,14,11,0.09090909090909091,0.5,9,nan,nan,nan,nan
notears_latent_single,1000,3,14,8,0.2,1.0,8,18,0.26666666666666666,0.36363636363636365,10
dagma_latent_single,1000,3,14,7,0.2222222222222222,1.0,7,16,0.3333333333333333,0.45454545454545453,6
notears_latent_stable,1000,3,14,12,0.14285714285714285,1.0,11,21,0.14285714285714285,0.18181818181818182,0
dagma_latent_stable,1000,3,14,16,0.1111111111111111,1.0,11,25,0.1111111111111111,0.18181818181818182,0
dagma_latent_warmstart,1000,3,14,1,0.6666666666666666,1.0,1,6,0.6923076923076923,0.8181818181818182,13
notears_latent_warmstart,1000,3,14,1,0.6666666666666666,1.0,1,7,0.6428571428571429,0.8181818181818182,13
dagma_latent_symL1,1000,3,14,4,0.3333333333333333,1.0,4,13,0.4,0.36363636363636365,4
oracle_dagma,1000,3,14,0,1.0,1.0,0,0,1.0,1.0,14
notears_obs,1000,4,12,5,0.16666666666666666,1.0,5,nan,nan,nan,nan
dagma_obs,1000,4,12,9,0.1,1.0,7,nan,nan,nan,nan
notears_obs_warmstart,1000,4,12,5,0.16666666666666666,1.0,5,nan,nan,nan,nan
dagma_obs_warmstart,1000,4,12,9,0.1,1.0,7,nan,nan,nan,nan
notears_latent_single,1000,4,12,14,0.06666666666666667,1.0,7,25,0.058823529411764705,0.1,0
dagma_latent_single,1000,4,12,13,0.07142857142857142,1.0,7,23,0.06666666666666667,0.1,0
notears_latent_stable,1000,4,12,11,0.08333333333333333,1.0,7,18,0.21428571428571427,0.3,0
dagma_latent_stable,1000,4,12,10,0.09090909090909091,1.0,5,19,0.2,0.3,1
dagma_latent_warmstart,1000,4,12,1,0.5,1.0,1,9,0.5454545454545454,0.6,12
notears_latent_warmstart,1000,4,12,0,1.0,1.0,0,5,0.7272727272727273,0.8,12
dagma_latent_symL1,1000,4,12,9,0.1,1.0,6,20,0.08333333333333333,0.1,0
oracle_dagma,1000,4,12,0,1.0,1.0,0,0,1.0,1.0,12
notears_obs,1000,5,13,8,0.3,0.75,6,nan,nan,nan,nan
dagma_obs,1000,5,13,9,0.2,0.5,6,nan,nan,nan,nan
notears_obs_warmstart,1000,5,13,8,0.3,0.75,6,nan,nan,nan,nan
dagma_obs_warmstart,1000,5,13,9,0.2,0.5,6,nan,nan,nan,nan
notears_latent_single,1000,5,13,10,0.2,0.5,7,19,0.25,0.23076923076923078,7
dagma_latent_single,1000,5,13,9,0.2222222222222222,0.5,6,18,0.2727272727272727,0.23076923076923078,7
notears_latent_stable,1000,5,13,9,0.2222222222222222,0.5,6,17,0.3333333333333333,0.3076923076923077,1
dagma_latent_stable,1000,5,13,9,0.2727272727272727,0.75,6,17,0.3333333333333333,0.3076923076923077,0
dagma_latent_warmstart,1000,5,13,4,0.5,0.75,2,8,0.631578947368421,0.9230769230769231,13
notears_latent_warmstart,1000,5,13,4,0.5,0.75,2,8,0.631578947368421,0.9230769230769231,13
dagma_latent_symL1,1000,5,13,9,0.2222222222222222,0.5,6,21,0.16666666666666666,0.15384615384615385,0
oracle_dagma,1000,5,13,0,1.0,1.0,0,0,1.0,1.0,13
notears_obs,1000,6,10,7,0.2222222222222222,0.6666666666666666,4,nan,nan,nan,nan
dagma_obs,1000,6,10,7,0.2222222222222222,0.6666666666666666,5,nan,nan,nan,nan
notears_obs_warmstart,1000,6,10,7,0.2222222222222222,0.6666666666666666,4,nan,nan,nan,nan
dagma_obs_warmstart,1000,6,10,7,0.2222222222222222,0.6666666666666666,5,nan,nan,nan,nan
notears_latent_single,1000,6,10,6,0.3333333333333333,1.0,3,15,0.3333333333333333,0.36363636363636365,0
dagma_latent_single,1000,6,10,5,0.375,1.0,3,15,0.3,0.2727272727272727,0
notears_latent_stable,1000,6,10,10,0.23076923076923078,1.0,7,18,0.26666666666666666,0.36363636363636365,0
dagma_latent_stable,1000,6,10,8,0.2727272727272727,1.0,6,16,0.2727272727272727,0.2727272727272727,0
dagma_latent_warmstart,1000,6,10,3,0.5,1.0,2,11,0.5,0.7272727272727273,9
notears_latent_warmstart,1000,6,10,3,0.5,1.0,2,10,0.5294117647058824,0.8181818181818182,9
dagma_latent_symL1,1000,6,10,6,0.3333333333333333,1.0,4,17,0.25,0.2727272727272727,0
oracle_dagma,1000,6,10,0,1.0,1.0,0,0,1.0,1.0,10
notears_obs,1000,7,9,8,0.3333333333333333,1.0,7,nan,nan,nan,nan
dagma_obs,1000,7,9,8,0.3333333333333333,1.0,7,nan,nan,nan,nan
notears_obs_warmstart,1000,7,9,8,0.3333333333333333,1.0,7,nan,nan,nan,nan
dagma_obs_warmstart,1000,7,9,8,0.3333333333333333,1.0,7,nan,nan,nan,nan
notears_latent_single,1000,7,9,11,0.26666666666666666,1.0,6,20,0.2777777777777778,0.4166666666666667,3
dagma_latent_single,1000,7,9,13,0.14285714285714285,0.5,6,22,0.16666666666666666,0.25,2
notears_latent_stable,1000,7,9,9,0.2727272727272727,0.75,6,16,0.3333333333333333,0.3333333333333333,0
dagma_latent_stable,1000,7,9,8,0.2727272727272727,0.75,6,15,0.3333333333333333,0.3333333333333333,0
dagma_latent_warmstart,1000,7,9,5,0.375,0.75,4,7,0.6111111111111112,0.9166666666666666,9
notears_latent_warmstart,1000,7,9,4,0.42857142857142855,0.75,3,6,0.6470588235294118,0.9166666666666666,9
dagma_latent_symL1,1000,7,9,15,0.125,0.5,6,22,0.16666666666666666,0.25,0
oracle_dagma,1000,7,9,0,1.0,1.0,0,0,1.0,1.0,9
notears_obs,1000,8,11,8,0.2727272727272727,1.0,6,nan,nan,nan,nan
dagma_obs,1000,8,11,9,0.25,1.0,7,nan,nan,nan,nan
notears_obs_warmstart,1000,8,11,8,0.2727272727272727,1.0,6,nan,nan,nan,nan
dagma_obs_warmstart,1000,8,11,9,0.25,1.0,7,nan,nan,nan,nan
notears_latent_single,1000,8,11,4,0.42857142857142855,1.0,3,8,0.6363636363636364,0.6363636363636364,4
dagma_latent_single,1000,8,11,4,0.42857142857142855,1.0,3,8,0.6363636363636364,0.6363636363636364,6
notears_latent_stable,1000,8,11,10,0.23076923076923078,1.0,8,17,0.2857142857142857,0.36363636363636365,0
dagma_latent_stable,1000,8,11,14,0.17647058823529413,1.0,10,19,0.3,0.5454545454545454,3
dagma_latent_warmstart,1000,8,11,0,1.0,1.0,0,1,0.9166666666666666,1.0,11
notears_latent_warmstart,1000,8,11,0,1.0,1.0,0,2,0.8461538461538461,1.0,11
dagma_latent_symL1,1000,8,11,2,0.6,1.0,2,8,0.6,0.5454545454545454,4
oracle_dagma,1000,8,11,0,1.0,1.0,0,0,1.0,1.0,11
notears_obs,1000,9,11,10,0.1111111111111111,0.25,7,nan,nan,nan,nan
dagma_obs,1000,9,11,11,0.1,0.25,8,nan,nan,nan,nan
notears_obs_warmstart,1000,9,11,10,0.1111111111111111,0.25,7,nan,nan,nan,nan
dagma_obs_warmstart,1000,9,11,11,0.1,0.25,8,nan,nan,nan,nan
notears_latent_single,1000,9,11,12,0.09090909090909091,0.25,6,20,0.25,0.3076923076923077,5
dagma_latent_single,1000,9,11,11,0.1,0.25,6,19,0.26666666666666666,0.3076923076923077,5
notears_latent_stable,1000,9,11,11,0.1,0.25,6,19,0.18181818181818182,0.15384615384615385,0
dagma_latent_stable,1000,9,11,11,0.1,0.25,6,19,0.18181818181818182,0.15384615384615385,0
dagma_latent_warmstart,1000,9,11,4,0.3333333333333333,0.25,1,6,0.7142857142857143,0.7692307692307693,11
notears_latent_warmstart,1000,9,11,4,0.3333333333333333,0.25,1,7,0.6666666666666666,0.7692307692307693,11
dagma_latent_symL1,1000,9,11,10,0.1111111111111111,0.25,5,19,0.23076923076923078,0.23076923076923078,2
oracle_dagma,1000,9,11,1,1.0,0.75,0,1,1.0,0.9230769230769231,11
notears_obs,5000,0,13,9,0.3076923076923077,1.0,8,nan,nan,nan,nan
dagma_obs,5000,0,13,7,0.36363636363636365,1.0,7,nan,nan,nan,nan
notears_obs_warmstart,5000,0,13,9,0.3076923076923077,1.0,8,nan,nan,nan,nan
dagma_obs_warmstart,5000,0,13,7,0.36363636363636365,1.0,7,nan,nan,nan,nan
notears_latent_single,5000,0,13,8,0.3333333333333333,1.0,7,18,0.3333333333333333,0.2857142857142857,0
dagma_latent_single,5000,0,13,8,0.3333333333333333,1.0,7,18,0.3333333333333333,0.2857142857142857,1
notears_latent_stable,5000,0,13,9,0.3076923076923077,1.0,8,19,0.3076923076923077,0.2857142857142857,0
dagma_latent_stable,5000,0,13,7,0.36363636363636365,1.0,6,17,0.36363636363636365,0.2857142857142857,0
dagma_latent_warmstart,5000,0,13,3,0.5714285714285714,1.0,2,8,0.65,0.9285714285714286,13
notears_latent_warmstart,5000,0,13,4,0.4,0.5,2,11,0.5625,0.6428571428571429,11
dagma_latent_symL1,5000,0,13,7,0.36363636363636365,1.0,6,17,0.36363636363636365,0.2857142857142857,0
oracle_dagma,5000,0,13,2,0.6,0.75,0,3,0.8571428571428571,0.8571428571428571,12
notears_obs,5000,1,10,4,0.3333333333333333,0.6666666666666666,3,nan,nan,nan,nan
dagma_obs,5000,1,10,4,0.3333333333333333,0.6666666666666666,3,nan,nan,nan,nan
notears_obs_warmstart,5000,1,10,4,0.3333333333333333,0.6666666666666666,3,nan,nan,nan,nan
dagma_obs_warmstart,5000,1,10,4,0.3333333333333333,0.6666666666666666,3,nan,nan,nan,nan
notears_latent_single,5000,1,10,7,0.3,1.0,4,17,0.25,0.25,0
dagma_latent_single,5000,1,10,8,0.2222222222222222,0.6666666666666666,4,18,0.2,0.16666666666666666,0
notears_latent_stable,5000,1,10,7,0.2222222222222222,0.6666666666666666,3,15,0.3,0.25,0
dagma_latent_stable,5000,1,10,8,0.2,0.6666666666666666,3,16,0.2727272727272727,0.25,0
dagma_latent_warmstart,5000,1,10,2,0.6666666666666666,0.6666666666666666,1,12,0.5,0.5,9
notears_latent_warmstart,5000,1,10,1,1.0,0.6666666666666666,0,10,0.5833333333333334,0.5833333333333334,9
dagma_latent_symL1,5000,1,10,9,0.2,0.6666666666666666,5,20,0.16666666666666666,0.16666666666666666,0
oracle_dagma,5000,1,10,0,1.0,1.0,0,0,1.0,1.0,10
notears_obs,5000,2,16,8,0.1111111111111111,1.0,7,nan,nan,nan,nan
dagma_obs,5000,2,16,7,0.125,1.0,7,nan,nan,nan,nan
notears_obs_warmstart,5000,2,16,8,0.1111111111111111,1.0,7,nan,nan,nan,nan
dagma_obs_warmstart,5000,2,16,7,0.125,1.0,7,nan,nan,nan,nan
notears_latent_single,5000,2,16,5,0.16666666666666666,1.0,5,12,0.4,0.4,4
dagma_latent_single,5000,2,16,5,0.16666666666666666,1.0,5,12,0.4,0.4,4
notears_latent_stable,5000,2,16,4,0.2,1.0,4,13,0.2,0.1,0
dagma_latent_stable,5000,2,16,5,0.16666666666666666,1.0,5,13,0.2857142857142857,0.2,0
dagma_latent_warmstart,5000,2,16,0,1.0,1.0,0,1,0.9090909090909091,1.0,16
notears_latent_warmstart,5000,2,16,0,1.0,1.0,0,1,0.9090909090909091,1.0,16
dagma_latent_symL1,5000,2,16,4,0.2,1.0,4,10,0.5,0.4,2
oracle_dagma,5000,2,16,0,1.0,1.0,0,0,1.0,1.0,16
notears_obs,5000,3,14,10,0.1,0.5,8,nan,nan,nan,nan
dagma_obs,5000,3,14,12,0.08333333333333333,0.5,10,nan,nan,nan,nan
notears_obs_warmstart,5000,3,14,10,0.1,0.5,8,nan,nan,nan,nan
dagma_obs_warmstart,5000,3,14,12,0.08333333333333333,0.5,10,nan,nan,nan,nan
notears_latent_single,5000,3,14,4,0.3333333333333333,1.0,4,12,0.46153846153846156,0.5454545454545454,10
dagma_latent_single,5000,3,14,4,0.3333333333333333,1.0,4,14,0.38461538461538464,0.45454545454545453,7
notears_latent_stable,5000,3,14,11,0.15384615384615385,1.0,11,20,0.15384615384615385,0.18181818181818182,0
dagma_latent_stable,5000,3,14,15,0.11764705882352941,1.0,11,24,0.11764705882352941,0.18181818181818182,0
dagma_latent_warmstart,5000,3,14,1,0.6666666666666666,1.0,1,6,0.6923076923076923,0.8181818181818182,13
notears_latent_warmstart,5000,3,14,2,0.5,1.0,1,8,0.6,0.8181818181818182,13
dagma_latent_symL1,5000,3,14,3,0.4,1.0,3,13,0.375,0.2727272727272727,7
oracle_dagma,5000,3,14,0,1.0,1.0,0,0,1.0,1.0,14
notears_obs,5000,4,12,5,0.16666666666666666,1.0,5,nan,nan,nan,nan
dagma_obs,5000,4,12,7,0.125,1.0,6,nan,nan,nan,nan
